SURGERY,AGE,PULSE,MUC_MEMBR,CRT,PAIN,PERISTALSIS,AB_DISTEN,PCV,PROTEIN,OUTCOME,LESION,CP_DATA
1,1,88,3,0,2,3,1,50,85,0,0,0
0,1,40,2,0,2,2,0,33,6.7,1,0,1
1,0,164,5,1,1,3,3,48,7.2,0,1,1
1,1,48,0,0,2,2,2,37,7,1,1,0
0,1,80,2,0,3,3,3,38,6.2,0,1,0
0,0,90,0,0,4,2,0,40,6.2,1,0,1
1,1,66,4,0,2,2,0,44,6,1,1,1
0,1,72,1,0,1,0,1,50,7.8,1,1,0
0,0,92,1,0,0,2,1,37,6.1,0,0,1
1,1,76,0,0,2,3,0,46,81,1,1,0
1,1,96,3,0,4,2,2,45,6.8,0,1,0
1,0,128,3,1,3,3,2,53,7.8,0,0,1
1,1,64,1,0,1,2,0,40,7,1,1,1
1,1,72,4,1,4,3,3,46,6.1,1,1,0
0,1,48,0,0,0,2,0,49,6.8,1,0,0
1,1,72,2,1,2,2,2,43,7,1,1,1
0,1,48,0,0,0,0,0,45,76,1,0,0
0,1,96,3,1,4,3,3,66,7.5,0,1,0
0,1,108,3,1,1,3,1,52,8.2,0,1,1
1,1,60,0,0,2,2,2,43,6.6,1,1,0
1,1,100,3,1,4,3,3,52,6.6,1,1,0
0,1,104,2,1,3,3,2,73,8.4,0,1,0
0,1,52,0,0,2,2,1,32,6.6,1,0,1
1,1,88,5,1,4,2,2,63,6.5,0,1,0
0,1,60,2,0,2,2,0,47,7,1,0,0
1,1,120,3,0,3,3,3,52,67,0,1,0
0,1,120,3,1,4,3,3,60,6.5,0,1,0
1,1,60,3,1,4,3,3,65,7.5,1,1,1
0,1,48,0,0,0,0,0,37,6.5,1,0,0
1,1,80,2,1,1,2,2,54,6.5,0,1,0
0,1,84,4,1,3,0,1,73,5.5,0,0,1
0,1,46,1,0,0,2,1,49,9.1,1,0,1
0,1,114,0,1,1,2,2,57,8.1,0,1,1
1,1,64,1,0,4,2,2,42,7.7,0,1,0
0,1,60,0,0,0,1,1,44,7.7,1,0,0
0,1,130,3,1,1,3,3,65,82,0,0,0
1,1,64,3,1,2,2,1,44,7.5,1,1,1
1,1,60,2,0,2,2,1,26,72,1,1,0
0,1,72,4,1,2,2,0,58,74,1,1,0
0,1,54,0,0,0,2,0,49,7.2,1,0,1
1,1,48,0,0,0,1,0,46,5.9,1,0,1
1,1,52,4,0,3,2,0,54,7.5,0,1,1
1,1,38,0,0,2,2,1,37,68,1,1,0
0,1,52,0,0,0,0,0,33,77,1,0,0
1,1,96,5,1,2,3,1,69,8.9,1,1,1
1,1,98,3,0,3,2,1,47,6.4,0,1,1
1,0,100,1,0,2,3,0,36,5.7,1,1,0
1,1,60,1,1,1,2,2,40,4.5,1,1,1
0,1,54,2,1,2,0,1,45,6.2,1,0,0
1,1,88,3,1,4,3,2,50,7.7,0,1,1
0,1,64,4,0,2,2,1,42,7.5,1,0,1
0,1,42,0,0,0,0,0,38,61,1,0,0
0,1,114,0,1,1,2,2,57,8.1,0,1,1
0,1,50,0,0,0,0,0,42,6.2,1,0,0
1,1,48,1,0,2,2,2,41,69,1,1,0
1,1,88,3,0,1,2,2,55,60,0,0,0
0,1,44,2,0,0,2,1,41,60,1,0,0
0,1,108,5,1,1,3,2,59,8,1,0,1
1,0,140,0,0,2,2,1,39,5.3,1,1,0
1,1,52,2,0,3,3,0,48,6.6,0,1,0
1,1,70,2,1,1,2,1,36,7.3,1,1,0
0,1,50,2,0,0,2,1,44,7,1,0,0
1,1,60,1,1,3,3,3,53,64,0,1,0
1,0,84,1,0,2,2,2,36,6.6,0,1,1
1,1,70,4,1,1,2,1,60,7.5,0,1,0
1,1,40,0,0,0,2,0,39,56,1,1,0
1,1,44,0,0,2,2,2,42,65,1,1,0
1,1,78,0,0,4,2,0,34,75,1,1,0
0,1,56,1,0,0,2,0,46,70,1,0,0
1,1,54,1,0,1,2,1,39,6,1,1,1
1,1,80,5,1,3,2,0,67,10.2,0,1,0
0,1,40,0,0,2,0,0,39,62,1,0,0
1,1,64,2,0,3,3,2,45,7.5,0,1,1
0,1,48,3,0,0,0,2,37,5.5,0,1,0
1,1,42,0,0,2,2,1,41,7.6,1,1,0
1,1,84,2,0,1,2,2,31,61,0,0,0
0,1,88,0,0,2,2,1,44,6,0,1,0
0,1,40,0,0,1,2,0,40,5.7,1,1,0
1,0,136,2,0,4,0,2,33,4.9,0,1,1
0,1,56,2,0,0,0,0,42,71,1,0,0
1,1,44,0,0,1,1,0,31,7.3,1,0,0
1,1,120,5,1,4,3,3,57,4.5,0,1,1
1,1,48,0,1,0,1,0,46,5.9,1,0,1
1,1,84,5,0,1,3,3,75,81,0,0,0
0,1,80,1,0,1,2,2,50,80,1,1,0
1,1,48,2,0,2,3,3,42,71,1,1,0
0,1,44,2,0,2,3,2,33,6.5,0,1,0
1,1,132,5,1,1,3,1,57,8,1,1,1
0,1,44,0,0,1,2,1,33,64,1,0,0
0,1,48,0,0,0,2,1,50,7.3,1,0,1
0,1,48,2,0,2,2,3,41,65,1,1,0
0,1,48,3,0,0,3,1,49,8.3,1,0,1
0,1,52,0,0,2,2,1,36,6.6,1,0,1
1,1,66,2,0,4,2,0,46,46,0,1,0
1,1,76,4,1,2,2,1,50,8,1,1,1
1,1,40,0,0,2,0,0,43,5.9,1,0,1
1,1,104,2,0,1,3,1,55,8.5,1,1,0
1,1,129,2,0,1,3,2,57,66,1,1,0
1,1,104,4,1,1,3,2,69,8.6,0,1,1
1,1,60,2,0,2,2,0,48,66,1,1,0
1,1,60,3,1,4,3,3,45,70,1,1,0
1,1,84,4,1,3,2,2,47,7.5,0,1,0
0,1,56,1,0,1,0,0,44,68,1,0,0
0,1,68,1,0,0,0,0,43,65,1,0,0
1,1,80,0,0,2,2,2,32,6.1,1,1,1
1,1,60,0,0,1,0,0,30,6,1,1,0
1,1,40,3,0,2,2,0,23,6.7,1,1,1
0,0,100,0,0,3,0,0,37,4.7,1,0,0
1,1,48,0,0,2,2,2,48,74,1,1,0
1,1,60,3,1,3,2,3,58,7.6,0,1,0
0,1,88,1,0,1,1,0,37,56,1,0,0
0,1,60,4,1,1,1,0,63,7.5,0,0,1
0,1,60,0,1,0,2,0,34,66,1,0,0
0,1,60,1,0,1,0,1,49,59,1,0,0
1,1,48,2,0,2,0,2,40,6.6,1,1,1
1,1,86,2,0,3,3,2,45,7.4,0,1,1
0,1,36,0,0,1,2,0,35,5.7,1,0,0
1,1,96,3,1,3,3,2,50,65,1,1,0
0,1,44,0,0,2,0,1,43,51,1,0,0
1,1,68,1,0,1,3,1,45,4,0,1,1
1,1,86,3,0,1,3,3,45,5.5,0,1,1
1,0,120,1,1,2,2,2,47,6.3,1,0,0
0,1,56,0,0,0,0,0,40,7,1,0,1
1,1,40,0,0,0,1,0,38,7,1,1,0
1,1,52,3,0,2,3,2,37,8.1,1,1,0
1,1,112,3,0,1,2,0,60,6.3,1,1,1
1,1,66,2,0,2,2,1,31.5,6.2,1,1,1
1,1,50,0,0,2,0,0,38,58,1,1,0
0,1,54,0,0,0,2,0,49,7.2,1,0,1
1,1,120,4,1,1,2,2,60,8.8,0,1,0
1,1,90,5,1,4,3,2,65,50,0,1,0
0,1,92,5,0,4,3,0,72,6.4,0,0,0
1,1,72,2,1,2,2,2,43,7,1,1,1
1,1,52,4,0,3,2,0,54,7.5,0,1,1
0,1,42,0,0,2,0,1,36,6.9,1,0,0
0,1,54,4,0,2,0,0,47,54,1,0,0
0,1,88,2,0,2,2,1,45,7,0,1,1
1,1,90,3,1,4,3,3,55,6.1,0,1,0
1,1,52,1,0,0,1,0,43,8.1,1,0,1
1,1,36,3,0,4,2,2,41,5.9,0,1,0
1,0,124,1,0,1,2,3,47,8,1,1,1
1,1,68,2,0,3,1,3,47,7.2,1,1,0
1,1,88,3,0,4,3,2,41,4.6,0,1,0
0,1,48,0,1,2,2,0,34,6.6,1,0,0
1,1,100,5,0,1,3,0,66,13,0,1,0
0,1,42,1,0,0,3,0,52,7.1,0,1,0
1,0,124,1,0,1,2,3,50,7.6,0,1,1
0,1,112,3,1,4,3,1,40,5.3,1,0,1
1,1,80,2,0,3,3,3,43,70,1,1,0
1,0,184,0,0,3,0,2,33,3.3,0,1,0
1,1,72,0,0,1,0,0,35,65,0,1,0
0,1,52,0,0,1,2,1,36,61,1,0,0
1,1,72,0,0,1,2,0,54,7.4,0,1,1
0,1,40,0,0,3,2,1,37,69,1,0,0
1,1,75,2,1,3,3,1,48,7.4,0,1,1
1,1,44,1,0,2,2,2,44,6.5,1,1,1
0,1,56,0,0,2,2,0,40,6,0,1,0
0,1,68,2,0,2,2,1,38,6.5,1,0,1
0,1,54,1,0,1,2,1,44,7.2,1,0,1
1,1,60,0,0,2,2,1,35,6.5,0,1,0
1,1,80,5,0,4,3,0,50,55,1,1,0
1,1,100,3,1,4,3,3,52,6.6,1,1,0
1,1,120,2,0,4,2,2,65,7,0,1,1
1,0,150,5,1,4,2,1,50,6.2,0,1,0
1,1,36,0,0,3,1,1,37,75,0,0,0
0,1,50,2,0,0,2,1,37.5,6.5,1,0,0
0,1,40,0,0,0,0,0,37,6.8,1,0,0
0,1,56,0,0,1,3,2,47,7.2,1,0,1
0,1,78,4,0,1,2,0,66,6.5,0,1,1
1,1,70,4,1,1,2,1,60,7.5,0,1,0
0,1,54,0,0,2,0,0,40,6.8,1,0,1
1,1,66,0,0,2,2,0,40,6.7,1,1,1
1,1,50,0,0,2,1,1,39,6.6,1,1,1
1,1,80,2,0,1,2,2,54,6.5,0,1,0
1,1,66,1,0,3,2,2,35,6.9,0,1,0
0,1,40,0,0,1,0,0,37,67,1,0,0
1,1,72,3,0,3,3,2,60,6.8,0,1,0
1,1,100,2,0,2,2,2,50,6,1,1,1